,id,followers,genres,name,popularity
145038,60d24wfXkVzDSfLS6hyCjZ,14588353.0,"['dance pop', 'dutch edm', 'edm', 'electro house', 'pop', 'pop dance', 'progressive house', 'tropical house']",Martin Garrix,83
144529,0k17h0D3J5VfsdmQ1iZtE9,14343532.0,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']",Pink Floyd,83
126468,1elUiq4X7pxej6FRlrEzjM,14295733.0,"['sertanejo', 'sertanejo universitario']",Jorge & Mateus,83
144503,1SupJlEpv7RS2tPNRaHViT,14285097.0,"['latin', 'latin hip hop', 'reggaeton', 'trap latino', 'tropical']",Nicky Jam,88
115494,6KImCVD70vtIoJWnq6nGn3,14086781.0,"['pop', 'post-teen pop']",Harry Styles,90
144491,6LuN9FCkKOj5PcnpouEgny,13728298.0,"['alternative r&b', 'pop']",Khalid,92
144139,5K4W6rqBFWDnAN6FQUkS6x,13713751.0,"['chicago rap', 'rap']",Kanye West,92
146869,487N2T9nIPEHrlTZLL3SQs,13674608.0,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",Zé Neto & Cristiano,80
142830,7bXgB6jMjp9ATFy66eO08Z,13493933.0,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",Chris Brown,90
144509,6l3HvQ5sa6mXTsMTB19rO5,13067338.0,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",J. Cole,87
145059,6VuMaDnrHyPL1p4EHjYLi7,12846333.0,"['dance pop', 'pop', 'post-teen pop', 'viral pop']",Charlie Puth,82
146871,3p7PcrEHaaKLJnPUGOtRlT,12846250.0,"['sertanejo pop', 'sertanejo universitario']",Henrique & Juliano,80
144499,00FQb4jTyendYWaN8pK0wa,12750166.0,"['art pop', 'pop']",Lana Del Rey,89
144520,5lwmRuXgjX8xIwlnauTZIP,12566804.0,"['bachata', 'latin', 'tropical']",Romeo Santos,85
141876,6olE6TJLqED3rqDCT0FyPh,12507294.0,"['alternative rock', 'grunge', 'permanent wave', 'rock']",Nirvana,84
116882,1l8Fu6IkuTP0U5QetQJ5Xt,12505767.0,"['dance pop', 'electropop', 'girl group', 'pop', 'post-teen pop', 'talent show']",Fifth Harmony,75
313703,3vQ0GE3mI0dAaxIMYe5g7z,12448153.0,"['argentine hip hop', 'reggaeton', 'trap argentino', 'trap latino']",Paulo Londra,79
144615,0y59o4v8uw5crbN9M3JiL1,12170185.0,"['desi hip hop', 'desi pop', 'desi trap', 'filmi', 'haryanvi pop', 'modern bollywood']",Badshah,74
145807,7oPftvlwr6VrsViSDV7fJY,12001735.0,"['permanent wave', 'pop punk', 'punk']",Green Day,83
126224,7MiDcPa6UiV3In7lIM71IN,11880420.0,"['sertanejo', 'sertanejo universitario']",Gusttavo Lima,84
142837,5Pwc4xIPtQLFEnJriah9YJ,11636620.0,"['dance pop', 'neo mellow', 'piano rock', 'pop', 'pop rock', 'post-teen pop']",OneRepublic,84
143030,1mYsTxnqsietFxj1OgoGbG,11578195.0,"['desi pop', 'filmi', 'modern bollywood', 'sufi']",A.R. Rahman,77
143547,7Ln80lUS6He07XvHI8qqHH,11481777.0,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",Arctic Monkeys,87
145045,6oMuImdp5ZcFhWP0ESe6mG,11350554.0,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Migos,82
222696,4O15NlyKLIASxsJ0PrXPfz,11209483.0,"['melodic rap', 'philly rap', 'rap', 'trap']",Lil Uzi Vert,91
145029,2C6i0I5RiGzDKN9IAF8reh,11141948.0,"['banda', 'corrido', 'norteno', 'regional mexican']",Banda MS de Sergio Lizárraga,84
144517,1KCSPY1glIKqW2TotWuXOR,10740388.0,"['dance pop', 'pop', 'post-teen pop']",P!nk,86
142680,31TPClRtHm23RisEBtV3X7,10644302.0,"['dance pop', 'pop']",Justin Timberlake,84
143821,20JZFwl6HVl6yg8a4H3ZqK,10632209.0,"['baroque pop', 'emo', 'modern rock']",Panic! At The Disco,83
144548,36QJpDe2go2KgaRleHCDTp,10548181.0,"['album rock', 'classic rock', 'hard rock', 'rock']",Led Zeppelin,81
144534,7FNnA9vBm6EKceENgCGRMb,10444315.0,"['funk carioca', 'funk pop', 'pagode baiano', 'pop nacional']",Anitta,82
142129,1ZwdS5xdxEREPySFridCfh,10311655.0,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",2Pac,83
144145,55Aa2cqylxrFIXC767Z865,10309562.0,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",Lil Wayne,90
146885,6JL8zeS1NmiOftqZTRgdTz,10300972.0,"['dance pop', 'hip pop', 'pop', 'post-teen pop']",Meghan Trainor,80
144142,1RyvyyTE3xzB2ZywiAwp0i,10099191.0,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Future,91
145925,7Ey4PD4MYsKc5I2dolUwbH,10079991.0,"['album rock', 'classic rock', 'hard rock', 'rock']",Aerosmith,80
142380,22bE4uQ6baNwSHPVcDxLCe,10060904.0,"['british invasion', 'classic rock', 'rock']",The Rolling Stones,83
147739,7qG3b048QCHVRO5Pv1T5lw,10045207.0,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop', 'tropical']",Enrique Iglesias,80
145053,4obzFoKoKRHIphyHzJ35G3,10025272.0,"['dance pop', 'latin', 'latin pop', 'latin viral pop', 'pop', 'rap latina', 'reggaeton', 'trap latino']",Becky G,82
145044,63yrD80RY3RNEM2YDpUpO8,9986903.0,"['alt z', 'dance pop', 'electropop', 'pop']",Melanie Martinez,82
144504,137W8MRPWKqSmrBGDBFSop,9907667.0,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",Wiz Khalifa,88
145027,0NGAZxHanS9e0iNHpR8f2W,9863521.0,"['electro house', 'pop nacional', 'slap house']",Alok,84
144492,329e4yvIujISKGKz1BZZbO,9805704.0,"['latin', 'latin hip hop', 'reggaeton', 'trap latino', 'tropical']",Farruko,91
146881,2DlGxzQSjYe5N6G9nkYghR,9805610.0,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'urban contemporary']",Jennifer Lopez,80
144153,1URnnhqYAYcrqrcwql10ft,9478827.0,"['atl hip hop', 'rap', 'trap']",21 Savage,87
145046,1AL2GKpmRrKXkYIcASuRFa,9406176.0,['forro'],Wesley Safadão,82
142330,2QsynagSdAqZj3U9HgDzjD,9382373.0,"['reggae', 'roots reggae']",Bob Marley & The Wailers,83
145116,4V8Sr092TqfHkfAA5fXXqG,9347569.0,"['latin', 'latin pop', 'puerto rican pop', 'tropical']",Luis Fonsi,80
144159,0X2BH1fck6amBIoJhDVmmJ,9339948.0,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'post-teen pop', 'tropical house', 'uk pop']",Ellie Goulding,83
